brand,category,collection,subcategory,name,reference,material,movement,price,description,image_url
Jaeger-LeCoultre,Duometre,Duometre,,Duomètre Chronograph,,18K Pink Gold,"Manual-winding, Calibre 380 (Dual-Wing)","CHF 36,500","The Dual-Wing concept — two independent mechanisms share a single case. One powers the time display, the other the chronograph, each with its own barrel, gear train, and balance. A groundbreaking architecture unique to JLC.",https://robwa1ker.github.io/mockup-products/Jaeger-LeCoultre/Duometre/duometre-1.jpg
Jaeger-LeCoultre,Duometre,Duometre,,Duomètre Quantième Lunaire,,18K White Gold,"Manual-winding, Calibre 381 (Dual-Wing)","CHF 39,800","The Dual-Wing movement drives a moon-phase display of extraordinary precision — accurate to one day in 1,111 years. Power reserve indicators for each mechanism sit on opposite sides of the dial.",https://robwa1ker.github.io/mockup-products/Jaeger-LeCoultre/Duometre/duometre-2.jpg
Jaeger-LeCoultre,Master Control,Master Control,,Master Control Calendar Stainless Steel,Q4148450,Stainless Steel,"Automatic, Calibre 866","CHF 13,900","A triple calendar with day, date, and month displays plus moon phase, housed in a 40mm steel case. The blue sunray-brushed dial adds contemporary appeal to a classic complication.",https://robwa1ker.github.io/mockup-products/Jaeger-LeCoultre/Master%20Control/mc-date-steel.jpg
Jaeger-LeCoultre,Master Control,Master Control,,Master Control Date Stainless Steel,Q4018421,Stainless Steel,"Automatic, Calibre 899","CHF 8,800","The Master Control Date embodies JLC's 1,000 Hours Control quality standard. A clean, sector-dial design with date at 6 o'clock — the quintessential Swiss dress watch with manufacture movement.",https://robwa1ker.github.io/mockup-products/Jaeger-LeCoultre/Master%20Control/mc-classic.jpg
Jaeger-LeCoultre,Master Grande Tradition,Master Grande Tradition,,Master Grande Tradition Calibre 946,Q5273480,18K White Gold,"Manual-winding, Calibre 946",On request (Haute Horlogerie),A multi-axis tourbillon with a celestial vault — the orbital flying tourbillon completes a full rotation in 24 hours while displaying a sidereal sky chart. Among the most complex watches JLC has ever made.,https://robwa1ker.github.io/mockup-products/Jaeger-LeCoultre/Master%20Grande%20Tradition/mgt-cal946.jpg
Jaeger-LeCoultre,Master Grande Tradition,Master Grande Tradition,,Master Grande Tradition Calibre 950,Q5233420,18K White Gold,"Manual-winding, Calibre 950",On request (Haute Horlogerie),A minute repeater with a flying tourbillon — the gongs produce cathedral-tone chimes while the tourbillon rotates in its cage. A masterwork of acoustic and mechanical engineering from the Vallée de Joux.,https://robwa1ker.github.io/mockup-products/Jaeger-LeCoultre/Master%20Grande%20Tradition/mgt-cal950.jpg
Jaeger-LeCoultre,Master Ultra Thin,Master Ultra Thin,,Master Ultra Thin Moon Steel,Q1368460,Stainless Steel,"Automatic, Calibre 925/1","CHF 10,800","An elegant 39mm dress watch with a moon phase display — one of JLC's most popular complications. The eggshell dial, dauphine hands, and slim profile make it a refined everyday timepiece.",https://robwa1ker.github.io/mockup-products/Jaeger-LeCoultre/Master%20Ultra%20Thin/mut-moon-steel.jpg
Jaeger-LeCoultre,Master Ultra Thin,Master Ultra Thin,,Master Ultra Thin Perpetual Calendar Pink Gold,Q1142510,18K Pink Gold,"Automatic, Calibre 868","CHF 38,600","A perpetual calendar in an impossibly thin case — day, date, month, moon phase, and year, all powered by JLC's ultra-slim automatic calibre. High horology in an understated package.",https://robwa1ker.github.io/mockup-products/Jaeger-LeCoultre/Master%20Ultra%20Thin/mut-perpetual-pg.jpg
Jaeger-LeCoultre,Polaris,Polaris,,Polaris Chronograph Stainless Steel,Q9028651,Stainless Steel,"Automatic, Calibre 751H","CHF 13,700","A sporty chronograph inspired by the 1968 Memovox Polaris diver. The inner rotating bezel, 100m water resistance, and chronograph function make it JLC's most versatile sports watch.",https://robwa1ker.github.io/mockup-products/Jaeger-LeCoultre/Polaris/polaris-chrono.jpg
Jaeger-LeCoultre,Polaris,Polaris,,Polaris Geographic Stainless Steel,Q9078640,Stainless Steel,"Automatic, Calibre 936A","CHF 15,300","A true GMT/world-time watch with a 24-city ring and day/night indicator for the second timezone. The Polaris case design with its crown-guard shoulders adds a robust, adventurous character.",https://robwa1ker.github.io/mockup-products/Jaeger-LeCoultre/Polaris/polaris-geographic.jpg
